a,b,p,time_gen_micros,time_prod_micros,shared_prod_x,shared_prod_y,size_of_key,order, time(ms)
1797,2915,2999,1011,152,1785,1796,80,3011,331
1734,1104,2741,1099,169,1304,1840,80,2719,269
2583,2958,3691,1690,290,777,2655,80,3607,502
1137,938,2309,1040,130,863,1472,80,2389,257
1529,2496,3863,1043,136,158,69,80,3931,496
2599,1924,2711,979,140,2437,18,80,2677,253
1974,2363,2411,975,147,1011,1357,80,2473,202
2522,636,3313,1057,136,1562,1833,80,3229,346
1265,917,3221,1076,147,2268,628,80,3221,328
1201,2593,3001,1067,156,1617,720,80,2953,294
1371,2053,2791,944,110,2122,151,80,2777,266
2803,490,3739,837,152,842,1039,80,3709,443
2256,2090,3137,1063,146,468,2953,80,3083,354
1633,2906,3613,986,144,2735,2566,80,3613,416
1041,230,2549,1115,159,2154,1992,80,2467,208
93,369,2341,773,142,1589,1826,80,2341,184
2908,1466,3727,1168,142,3341,2654,80,3631,431
1208,1809,2411,985,138,1901,795,80,2347,191
996,2079,2351,856,125,1725,1603,80,2293,183
113,723,2203,817,92,1011,1935,80,2243,169
671,1203,2969,1071,156,1330,1986,80,2999,290
1449,1056,3967,1097,158,2665,1812,80,4019,504
1379,930,3511,1055,140,885,3373,80,3491,387
1725,1851,2857,990,153,2539,703,80,2857,265
2057,1705,2789,1022,103,1402,1567,80,2741,249
1236,2251,3209,791,135,153,2700,80,3169,319
1611,250,2503,893,144,1599,956,80,2521,212
2450,2409,2711,980,120,1096,1725,80,2707,242
3338,997,3727,879,119,1911,1197,80,3701,431
1801,2582,2633,860,128,1966,2623,80,2671,231
1581,3025,3083,833,89,2579,47,80,3061,303
2136,3291,3931,971,139,1102,118,80,3917,493
1316,2031,3557,912,156,997,3354,80,3541,391
1555,1669,2803,865,119,1536,2321,80,2851,264
2103,2705,2833,827,112,2493,2759,80,2789,252
1008,215,2767,966,152,2159,739,80,2803,254
131,3121,3467,921,150,1820,1292,80,3499,377
1287,2487,2699,953,125,210,2031,80,2677,237
1613,686,3517,930,125,531,1143,80,3593,406
798,926,3319,964,130,2900,327,80,3329,357
117,1493,2971,850,139,894,462,80,2957,289
708,3112,3583,998,150,3406,1612,80,3581,418
1880,398,3607,1002,152,479,1288,80,3607,421
1259,547,2731,901,120,738,2543,80,2801,254
36,2666,3467,1229,161,421,2990,80,3583,422
251,1613,2083,912,111,638,163,80,2081,150
2024,1908,2693,917,124,2489,1667,80,2693,246
1201,2367,3089,1002,127,1577,718,80,3119,316
298,1410,2083,996,80,1541,1047,80,1997,143
1635,1648,2753,1016,153,826,221,80,2719,250
1865,1861,2741,637,155,1603,228,80,2777,254
2868,2162,3499,1005,157,2910,1979,80,3457,412
1162,2020,3373,1143,155,2944,2332,80,3271,373
92,1574,2789,974,105,2273,2071,80,2819,262
1606,2177,2963,891,144,1938,1407,80,2953,289
408,847,2399,895,166,721,1937,80,2339,194
2744,952,3491,966,85,2864,1637,80,3389,388
343,189,2647,762,128,576,290,80,2671,238
1435,1439,3299,1069,156,1596,1155,80,3391,355
2091,1653,2803,877,157,1793,707,80,2803,270
1964,832,2081,891,128,1758,479,80,2161,156
302,1992,3853,955,164,3674,3678,80,3833,470
836,1737,2113,834,98,1118,1072,80,2161,155
1728,488,3533,867,130,2552,1761,80,3499,384
1327,2182,2767,918,104,257,114,80,2801,252
1511,1195,2957,943,46,155,2904,80,3001,286
2244,2652,3253,966,132,1365,673,80,3259,343
2946,2313,3061,979,128,201,1073,80,3109,312
2770,686,3733,1030,107,22,1142,80,3733,475
1901,231,2621,876,115,532,1218,80,2617,233
1306,82,3169,938,152,1326,1691,80,3137,323
2301,194,3343,898,117,2507,1376,80,3407,385
481,1700,2521,982,135,1219,1488,80,2549,213
2385,979,2677,951,62,632,2595,80,2647,234
