a,b,p,время_генерации_общего_ключа_последовательным_умножением_мкс,время_генерации_общего_ключа_кольцевым_методом_мкс,x_координата_общего_ключа,y_координата_общего_ключа,размер_ключа,порядок_генератора,общее_время_мс
149,1766,2677,1023,38,924,609,20,2731,264
1221,3381,3467,1443,188,655,305,19,3371,406
2444,137,2621,1122,181,454,1439,20,2543,322
882,1056,2543,1081,184,354,514,19,2621,267
1797,2915,2999,735,88,1441,712,21,3011,364
1734,1104,2741,1186,169,2570,1968,23,2719,324
2583,2958,3691,1135,147,908,2340,22,3607,489
1137,938,2309,740,111,1516,1307,22,2389,202
1529,2496,3863,1163,170,1321,1371,22,3931,506
2599,1924,2711,913,111,1959,1236,22,2677,263
1974,2363,2411,970,164,205,14,12,2473,222
2522,636,3313,981,145,888,1070,21,3229,359
1265,917,3221,898,139,1039,115,18,3221,371
1201,2593,3001,1144,147,533,150,18,2953,336
1371,2053,2791,935,169,2707,436,21,2777,308
2803,490,3739,965,147,1882,1469,22,3709,473
2256,2090,3137,1091,142,1117,927,21,3083,358
1633,2906,3613,1249,138,1246,3173,23,3613,531
1041,230,2549,981,149,1683,1229,22,2467,253
93,369,2341,1667,155,1507,2176,23,2341,215
2908,1466,3727,1117,160,3133,3045,24,3631,555
1208,1809,2411,1069,138,300,706,19,2347,219
996,2079,2351,945,163,477,1790,20,2293,201
113,723,2203,1022,121,69,1729,18,2243,187
671,1203,2969,1048,153,2711,1580,23,2999,322
1449,1056,3967,903,166,123,1538,18,4019,589
1379,930,3511,1135,149,1219,2693,23,3491,448
1725,1851,2857,831,156,1395,57,17,2857,289
2057,1705,2789,933,147,2739,818,22,2741,270
1236,2251,3209,1040,133,2086,2464,24,3169,343
1611,250,2503,877,160,1201,936,21,2521,235
2450,2409,2711,870,135,613,1123,21,2707,260
3338,997,3727,1268,176,3175,1936,23,3701,504
1801,2582,2633,937,136,2192,745,22,2671,240
1581,3025,3083,1016,118,2987,3034,24,3061,348
2136,3291,3931,1027,177,3840,205,20,3917,573
1316,2031,3557,1142,195,1596,646,21,3541,430
1555,1669,2803,857,144,1454,2001,22,2851,334
2103,2705,2833,938,130,758,2261,22,2789,274
1008,215,2767,2143,284,985,188,18,2803,290
131,3121,3467,4508,347,2075,1360,23,3499,416
1287,2487,2699,946,106,329,138,17,2677,309
1613,686,3517,1013,121,561,2381,22,3593,430
798,926,3319,1179,134,850,1731,21,3329,500
117,1493,2971,989,137,471,2528,21,2957,343
708,3112,3583,1266,169,3140,2285,24,3581,589
1880,398,3607,927,98,1313,1359,22,3607,511
1259,547,2731,1308,129,421,1116,20,2801,292
36,2666,3467,1106,168,1995,692,21,3583,489
251,1613,2083,801,140,332,2040,20,2081,170
2024,1908,2693,864,119,890,1254,21,2693,279
1201,2367,3089,1958,243,924,816,20,3119,341
298,1410,2083,1042,178,697,222,18,1997,179
1635,1648,2753,1163,172,1580,2363,23,2719,311
1865,1861,2741,1004,116,1026,336,20,2777,289
2868,2162,3499,1485,193,1759,2597,23,3457,507
1162,2020,3373,1014,154,1890,191,19,3271,403
92,1574,2789,971,123,257,2110,21,2819,320
1606,2177,2963,804,160,39,1393,17,2953,332
408,847,2399,894,122,868,2230,22,2339,214
2744,952,3491,1078,143,308,204,17,3389,419
343,189,2647,930,103,2171,1668,23,2671,278
1435,1439,3299,991,136,301,490,18,3391,384
2091,1653,2803,897,94,2333,1028,23,2803,314
1964,832,2081,814,138,531,1127,21,2161,170
302,1992,3853,1270,168,213,3043,20,3833,529
836,1737,2113,1797,210,481,486,18,2161,202
1728,488,3533,1072,187,1927,2667,23,3499,568
1327,2182,2767,887,147,546,689,20,2801,276
1511,1195,2957,2042,262,652,358,19,3001,321
2244,2652,3253,1704,207,287,2488,21,3259,478
2946,2313,3061,1486,204,926,1061,21,3109,449
2770,686,3733,1374,114,2150,122,19,3733,660
1901,231,2621,1900,257,2265,1946,23,2617,320
1306,82,3169,1317,152,2199,800,22,3137,478
2301,194,3343,975,163,1371,386,20,3407,540
481,1700,2521,1266,232,417,873,19,2549,270
2385,979,2677,1200,137,1535,819,21,2647,290
